measure,overall,recurrence_indication,prolonged_air_leak_indication
"Age, years","25.5 [22.4, 29.0]","25.4 [22.5, 28.9]","25.9 [22.4, 29.0]"
Male sex,537 (82.6%),403 (82.8%),134 (82.2%)
Right side,356 (54.8%),267 (54.8%),89 (54.6%)
Smoking history,344 (52.9%),262 (53.8%),82 (50.3%)
Pack-years among smokers,"6.4 [4.2, 10.0]","6.4 [4.2, 10.2]","6.4 [4.3, 9.4]"
Previous tube thoracostomy,392 (60.3%),326 (66.9%),66 (40.5%)
Tube during current admission,530 (81.5%),391 (80.3%),139 (85.3%)
Bleb or bulla visualized,502 (77.2%),381 (78.2%),121 (74.2%)
Multiple wedge resection,157 (24.2%),120 (24.6%),37 (22.7%)
"Follow-up, months","33.3 [25.1, 45.9]","34.0 [25.3, 45.9]","32.5 [24.3, 45.0]"
Ipsilateral recurrence,177 (27.2%),154 (31.6%),23 (14.1%)
